Cliente,CNPJ,Produto,Qtd,Dt Emissao,Data Faturamento
W. NORTE,51050054000364,015940,50.0,20250114,20250114
W SUL DIST E IMP DE,08111865000137,015940,260.0,20250115,20250116
LM MOTO,70963418000341,015940,340.0,20250109,20250110
W. NORDESTE,22101582000135,015940,150.0,20250124,20250127
W. NORTE,51050054000364,015940,300.0,20250124,20250128
W. NORDESTE,22101582000135,015951,70.0,20250115,20250116
W.SP LOGISTICA,11247454000188,015951,80.0,20250109,20250110
W.CO LOGISTICA EM DU,19246547000108,015951,30.0,20250114,20250115
W.CO LOGISTICA EM DU,19246547000108,015951,40.0,20250113,20250114
W. NORTE,51050054000364,015951,20.0,20250114,20250114
W. NORTE,51050054000364,015951,50.0,20250113,20250114
W SUL DIST E IMP DE,08111865000137,015951,60.0,20250115,20250116
LM MOTO,70963418000341,015951,150.0,20250109,20250110
W. NORDESTE,22101582000135,015951,50.0,20250124,20250127
W. NORTE,51050054000364,015951,100.0,20250124,20250128
W. NORDESTE,22101582000135,016072,270.0,20250115,20250116
W SUL DIST E IMP DE,08111865000137,016072,102.0,20250115,20250128
MB DISTRIBUIDORA,06752049000268,016072,168.0,20250107,20250109
W. NORDESTE,22101582000135,016078,30.0,20250115,20250116
W.CO LOGISTICA EM DU,19246547000108,016093,40.0,20250122,20250127
W SUL DIST E IMP DE,08111865000137,016093,420.0,20250307,20250314
MB DISTRIBUIDORA,06752049000268,016093,140.0,20250107,20250108
W SUL DIST E IMP DE,08111865000137,016095,120.0,20250107,20250116
W SUL DIST E IMP DE,08111865000137,016095,80.0,20250313,20250331
MB DISTRIBUIDORA,06752049000268,016095,100.0,20250107,20250108
W. NORTE,51050054000364,016146,80.0,20250312,20250319
W.CO LOGISTICA EM DU,19246547000108,016146,40.0,20250311,20250318
W SUL DIST E IMP DE,08111865000137,016146,40.0,20250311,20250314
W.SP LOGISTICA,11247454000188,016146,40.0,20250311,20250321
LM MOTO,70963418000341,016146,80.0,20250312,20250319
W. NORDESTE,22101582000135,016146,80.0,20250311,20250312
MB DISTRIBUIDORA,06752049000268,016146,120.0,20250311,20250314
W. NORTE,51050054000364,016150,80.0,20250312,20250319
W.CO LOGISTICA EM DU,19246547000108,016150,40.0,20250311,20250318
W SUL DIST E IMP DE,08111865000137,016150,40.0,20250311,20250314
W.SP LOGISTICA,11247454000188,016150,40.0,20250311,20250321
W. NORDESTE,22101582000135,016150,80.0,20250311,20250312
W.SP LOGISTICA,11247454000188,014046,10.0,20250122,20250124
MB DISTRIBUIDORA,06752049000268,014046,10.0,20250129,20250130
LM MOTO,70963418000341,014051,4.0,20250109,20250110
LM MOTO,70963418000341,014098,5.0,20250107,20250110
MB DISTRIBUIDORA,06752049000268,014098,5.0,20250224,20250312
LM MOTO,70963418000341,014099,5.0,20250107,20250110
LM MOTO,70963418000341,014099,5.0,20250324,20250402
W SUL DIST E IMP DE,08111865000137,014099,5.0,20250130,20250218
W SUL DIST E IMP DE,08111865000137,016225,10.0,20250313,20250314
LM MOTO,70963418000341,013590,50.0,20250228,20250306
MB DISTRIBUIDORA,06752049000268,013590,50.0,20250228,20250306
W.SP LOGISTICA,11247454000188,013590,150.0,20250228,20250321
LM MOTO,70963418000341,013599,200.0,20250228,20250306
W.CO LOGISTICA EM DU,19246547000108,013599,100.0,20250228,20250318
W.CO LOGISTICA EM DU,19246547000108,013599,200.0,20250228,20250318
W. NORDESTE,22101582000135,013599,700.0,20250228,20250312
MB DISTRIBUIDORA,06752049000268,013599,100.0,20250228,20250306
W.SP LOGISTICA,11247454000188,013599,400.0,20250228,20250311
MB DISTRIBUIDORA,06752049000268,013599,300.0,20250228,20250306
W SUL DIST E IMP DE,08111865000137,013599,100.0,20250305,        
W.CO LOGISTICA EM DU,19246547000108,013599,100.0,20250403,        
W. NORDESTE,22101582000135,013599,300.0,20250305,20250320
LM MOTO,70963418000341,013599,200.0,20250228,20250306
W.SP LOGISTICA,11247454000188,013599,1000.0,20250228,20250321
LM MOTO,70963418000341,013602,100.0,20250228,20250306
W.SP LOGISTICA,11247454000188,013602,100.0,20250228,20250321
W.SP LOGISTICA,11247454000188,013602,200.0,20250228,20250311
LM MOTO,70963418000341,013602,100.0,20250228,20250306
W SUL DIST E IMP DE,08111865000137,013689,20.0,20250107,20250116
MB DISTRIBUIDORA,06752049000268,015685,20.0,20250130,20250203
W.SP LOGISTICA,11247454000188,015759,10.0,20250107,20250110
W.SP LOGISTICA,11247454000188,015760,10.0,20250204,20250204
W.SP LOGISTICA,11247454000188,015767,30.0,20250117,20250124
W SUL DIST E IMP DE,08111865000137,015767,20.0,20250117,20250128
MB DISTRIBUIDORA,06752049000268,015767,10.0,20250117,20250120
W. NORDESTE,22101582000135,015784,10.0,20250220,20250224
MB DISTRIBUIDORA,06752049000268,015784,20.0,20250220,20250220
MB DISTRIBUIDORA,06752049000268,015784,50.0,20250220,20250224
W SUL DIST E IMP DE,08111865000137,015784,20.0,20250220,20250221
W SUL DIST E IMP DE,08111865000137,015784,60.0,20250220,20250221
W.SP LOGISTICA,11247454000188,015784,150.0,20250220,20250221
LM MOTO,70963418000341,015784,10.0,20250220,20250221
W.CO LOGISTICA EM DU,19246547000108,015784,10.0,20250220,        
W. NORTE,51050054000364,015784,10.0,20250220,20250228
W. NORDESTE,22101582000135,015784,40.0,20250220,20250224
W.SP LOGISTICA,11247454000188,015784,40.0,20250220,20250221
W.CO LOGISTICA EM DU,19246547000108,015784,10.0,20250219,20250227
LM MOTO,70963418000341,015784,40.0,20250220,20250221
MB DISTRIBUIDORA,06752049000268,015837,3.0,20250117,20250120
LM MOTO,70963418000341,013288,300.0,20250228,20250306
W.SP LOGISTICA,11247454000188,013288,700.0,20250228,20250321
W. NORDESTE,22101582000135,013288,100.0,20250228,20250312
W. NORDESTE,22101582000135,013288,100.0,20250305,20250320
LM MOTO,70963418000341,013288,100.0,20250228,20250306
W.SP LOGISTICA,11247454000188,013480,3.0,20250117,20250124
W. NORDESTE,22101582000135,015333,30.0,20250220,20250224
W.CO LOGISTICA EM DU,19246547000108,015333,10.0,20250219,20250219
W.CO LOGISTICA EM DU,19246547000108,015333,10.0,20250219,20250227
W.CO LOGISTICA EM DU,19246547000108,015333,10.0,20250220,        
W SUL DIST E IMP DE,08111865000137,015333,10.0,20250220,20250221
W.SP LOGISTICA,11247454000188,015333,20.0,20250220,20250221
W.SP LOGISTICA,11247454000188,015333,50.0,20250220,20250221
MB DISTRIBUIDORA,06752049000268,015333,20.0,20250220,20250220
